,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
241,BREAKFAST,COMMERCIAL,EN RPUTE ABOARD R.M.S. CAMPANIA,1900-02-27
242,LUNCH,COMMERCIAL,S.S. COPTIC,1900-03-13
243,DINNER,COMMERCIAL,S.S. COPTIC,1900-03-13
244,MENU,COMMERCIAL,"NEW YORK, NY",1900-03-14
245,DINNWE,COMMERCIAL,,1900-03-14
246,LUNCH,COMMERCIAL,EN ROUTE ABOARD SCHNELLDAMPMER EXPRESS STEAMER AUGUSTE VICTORIA,1900-03-14
247,DINNER,COMMERCIAL,R.M.S. CAMPANIA,1900-02-12
248,DAILY MENU,COMMERCIAL,SCHNELLDAMPFERS AUGUST VICTORIA,1900-02-12
249,DINNER MENU,COMMERCIAL,"NEW YORK, NY",1900-02-12
250,DINNER MENU,COMMERCIAL,"NEW YORK, NY",1900-01-12
251,MENU,COMMERCIAL,"NEW YORK, NY",1900-02-12
252,CAFE & RESTAURANT MENU,COMMERCIAL,"NEW YORK, NY",1900-02-12
253,LUNCHEON,COMMERCIAL,PULLMAN DINING CAR CASA MONICA,1900-01-01
254,MENU,COMMERCIAL,,1900-02-12
255,BILL OF FARE,COMMERCIAL,2351 3RD AVE. NEAR 128TH ST,1900-02-12
256,BILL OF FARE,COMMERCIAL,"57 BROAD ST., NEW YORK, NY",1900-02-13
257,PERSONALLY CONDUCTED TOUR THROUGH MEXICO AND CALFIORNIA - BREAKFAST,COMMERCIAL,PULLMAN SERVICE EN ROUTE,1900-02-13
258,TABLE D'HOTE LUNCH,COMMERCIAL,"CORNER 78TH ST., OPPOSITE MUSEUM OF NATURAL HISTORY, NEW YORK, NY",1900-02-13
259,LUNCHEON MENU,COMMERCIAL,"NEW YORK, NY",1900-02-13
260,DINNER,COMMERCIAL,"CINCINNATI,OH",1900-04-03
261,,COMMERCIAL,THE ALTON LIMITED,1900-04-03
262,LUNCH,COMMERCIAL,"NAPLES,ITALY",1900-04-04
263,DINNER,RELIG,"HOTEL MANHATTAN,NY",1900-04-05
264,DINNER,COMMERCIAL,"BLEECKER,THOMPSON,AND SULLIVAN STREETS,NY",1900-04-05
265,DINNER,COMMERCIAL,"NAPLES,ITALY",1900-04-05
266,DINNER,COMMERCIAL,SS DORIC,1900-04-05
267,DINNER,SOC,ROUND TABLE CLUB,1900-04-06
268,BILL OF FARE/BREAKFAST/DINNER,COMMERCIAL,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, NEW YORK, NY",1900-04-06
269,CARTE DU JOUR,SOC,"NEW YORK, NY",1900-04-07
270,TABLE D'HOTE DINNER,SOC,"NEW YORK, NY",1900-04-07
271,DINNER,COMMERCIAL,"NEW YORK, NY",1900-04-07
272,BILL OF FARE/DINNER,COMMERCIAL,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, NEW YORK, NY",1900-04-07
273,DINNER,COMMERCIAL,"NOS. 667 TO 677 BROADWAY, OPPOSITE BOND STREET, MIDWAY BETWEEN BATTERY AND CENTRAL PARK, NEW YORK, NY",1900-04-07
274,LUNCHEON,COMMERCIAL,R.M.S. LUCANIA,1900-04-07
275,BREAKFAST,COMMERCIAL,R.M.S. EMPRESS OF CHINA,1900-04-25
276,BREAKFAST,COMMERCIAL,S.S. DORIC,1900-04-25
277,BANQUET TO THE NATIONAL ASSOCIATION OF MANUFACTURERS,COMMERCIAL,"MECHANICS' HALL, BOSTON, MA",1900-04-26
278,MENU,COMMERCIAL,,1900-04-26
279,MENU,COMMERCIAL,"NEW YORK, NY",1900-04-26
280,FAREWELL DINNER GIVEN BY MR. THOMAS HASTINGS BEFORE HIS MARRIAGE TO MISS HELEN BENEDICT,OTHER (PRIVATE PARTY WITH INDIVIDUAL HOST),"SHERRY'S, NEW YORK, NY",1900-04-26
281,BUSINESS MEN'S LUNCH,COMMERCIAL,"NEW YORK, NY",1900-04-26
282,TABLE D'HOTE DINNER,COMMERCIAL,"NEW YORK, NY",1900-04-26
283,MENU,COMMERCIAL,"NEW YORK, NY",1900-04-26
284,SPRING DINNER,(SOC),ST. DENIS HOTEL,1900-04-26
285,BREALFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,1900-04-26
286,11NTH ANNUAL BANQUET,POL,"MANHATTAN HOTEL, NY",1900-04-27
287,25TH ANNUAL MEETING & BANQUET,EDUC,IROQUOIS,1900-04-27
288,BANQUET,,,1900-04-27
289,BREAKFAST,COMMERCIAL,"WASHINGTON,D.C.",1900-04-27
290,DINNER,COMMERCIAL,"42ND ST. & MAD. AVE, NY",1900-03-01
291,BREAKFAST,COMMERCIAL,EN ROUTE,1900-03-01
292,LUNCH,COMMERCIAL,EN ROUTE,1900-03-01
293,LUNCH OR DINNER,COMMERCIAL,"TAOEMINA, SICILY",1900-03-01
294,BANQUET IN HONOR OF JUDGE PETER S. GROSSCUP & JUDGE CHRISTIAN C. KOHLSAAT,PROF,"THE AUDITORIUM,CHICAGO,ILL.",1900-03-01
295,LUNCHEON,COMMERCIAL,MADISON AVE. & 42 ST. NY,1900-03-01
296,DINNER,COMMERCIAL,"BROADWAY AND 36TH ST,NEW YORK,NY",1900-03-01
297,DINNER,COMMERCIAL,"BROADWAY AND 36TH AND 37TH ST,NEW YORK,NY",1900-03-01
298,SUPPER,COMMERCIAL,"66 STREET AND BROADWAY,NEW YORK,NY",1900-03-02
299,BREAKFAST,COMMERCIAL,"66 STREET AND BROADWAY,NEW YORK,NY",1900-03-02
300,DAILY CARTE DU JOUR,COMMERCIAL,"66TH STREET AND BROADWAY,NEW YORK,NY",1900-03-02
301,BREAKFAST,COMMERCIAL,SS COPTIC,1900-03-02
302,LUNCH,COMMERCIAL,SS COPTIC,1900-03-02
303,DINNER,COMMERCIAL,SS COPTIC,1900-03-02
304,BREAKFAST,COMMERCIAL,"SCRANTON, PA",1900-03-14
305,LUNCHEON,COMMERCIAL,"SCRANTON, PA",1900-03-14
306,DINNER,COMMERCIAL,"SCRANTON, PA",1900-03-14
307,SUPPER,COMMERCIAL,"SCRANTON, PA",1900-03-14
308,DINNER,COMMERCIAL,RR STATION,1900-03-14
309,DAILY MENU,COMMERCIAL,"13 MONTGOMERY STREET JERSEY CITY, NJ",1900-03-14
310,DAILY MENU,COMMERCIAL,"90 MONTGOMERY STREET, JERSEY CITY, NJ",1900-03-14
311,DAILY MENU,OTHER (PRIVATE CLUB),NEW YORK,1900-03-14
312,DAILY MENU,OTHER (PRIVATE CLUB),NEW YORK,1900-03-14
313,LUNCHEON,COMMERCIAL,"BROADWAY, NY",1900-03-14
314,DINNER,COMMERCIAL,"BROADWAY, NY",1900-03-14
315,BREAKFAST,COMMERCIAL,"JERSEY CITY, NJ",1900-03-14
316,DAILY MENU,COMMERCIAL,"JERSEY CITY, NY",1900-03-14
317,CLUB DINNER,OTHER (PRIVATE CLUB),NEW YORK,1900-03-14
318,LUNCHEON,COMMERCIAL,NEW YORK,1900-03-14
319,DAILY MENU,OTHER (SOC),NEW YORK,1900-03-14
320,DAILY MENU,OTHER (SOC),NEW YORK,1900-03-14
321,DINNER,COMMERCIAL,NEW YORK,1900-03-14
322,TABLE d'HOTE DINNER,COMMERCIAL,59 ST. & 5TH AVE. NY,1900-03-14
323,"LUNCHEON,BILL OF FARE",COMMERCIAL,NY,1900-03-14
324,DINNER,COMMERCIAL,R.M.S. LUCANIA,1900-04-07
325,LUNCHEON TABLE D'HOTE,COMMERCIAL,"FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, NY",1900-04-07
326,LUNCHEON A LA CARTE,COMMERCIAL,"FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, NY",1900-04-07
327,DINNER TABLE D'HOTE,COMMERCIAL,"FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, NY",1900-04-07
328,CAFE DINNER TABLE D'HOTE,COMMERCIAL,"FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, NY",1900-04-07
329,CARTE DU JOUR,SOC,"NEW YORK, NY",1900-04-07
330,DINNER,SOC,,1900-04-07
331,CARTE DU JOUR,SOC,"NEW YORK, NY",1900-04-07
332,TABLE D'HOTE DINNER,COMMERCIAL,"NEW YORK, NY",1900-04-07
333,MENU,COMMERCIAL,"NEW YORK, NY",1900-04-07
334,MENU,SOC,"NEW YORK, NY",1900-04-08
335,MENU,PROF,NARRAGANSETT HOTEL,1900-04-08
336,MENU,COMMERCIAL,,1900-04-09
337,DINNER,COMMERCIAL,"117 WEST 34TH STREET,NEW YORK,NY",1900-02-21
338,DAILY,COMMERCIAL,"117 WEST 34TH STREET,NEW YORK,NY",1900-02-21
339,LUNCHEON,COMMERCIAL,"66TH STREET AND BROADWAY,NEW YORK,NY",1900-02-21
340,DINNER,COMMERCIAL,"66TH STREET AND BROADWAY,NEW YORK,NY",1900-02-21
341,LUNCH,COMMERCIAL,ENROUTE ABOARD S.S. SOUTHWARK,1900-02-18
342,DINNER,COMMERCIAL,66TH STREET AND BR6ADWAY,1900-02-18
343,LUNCHEON,COMMERCIAL,66TH STREET AND BR6ADWAY,1900-02-18
344,LUNCHEON,COMMERCIAL,NEW YORK CITY,1900-02-18
345,SUPPER,COMMERCIAL,S.S. NACOOCHEE,1900-02-01
346,LUNCHEON MENU,COMMERCIAL,"NEW YORK, NY",1900-02-13
347,BREAKFAST,COMMERCIAL,"383 6TH AVE.,1212 BWAY.,& 1476 BWAY. NY",1900-02-13
348,BREAKFAST,COMMERCIAL,BWAY & 63RD ST. NY,1900-02-13
349,LUNCHEON,COMMERCIAL,BWAY & 63RD ST. NY,1900-02-13
350,DINNER,COMMERCIAL,"75TH ST & CENTRAL PARK WEST, NY",1900-02-13
351,LUNCH & DINNER,COMMERCIAL,600 SIXTH AVE. NY,1900-02-13
352,A LA CARTE MENU,COMMERCIAL,38TH ST. & 6TH AVE. NY,1900-02-13
353,BREAKFAST,COMMERCIAL,EN ROUTE,1900-02-13
354,LUNCH,COMMERCIAL,EN ROUTE,1900-02-13
355,DINNER,COMMERCIAL,EN ROUTE,1900-02-13
356,BREAKFAST,COMMERCIAL,EN ROUTE,1900-02-13
357,DINNER,COMMERCIAL,TOUR THROUGH MEXICO & CALIFORNIA,1900-02-14
358,FAREWELL DINNER TO MR. WILLIAM CLARK,SOC,GRAND HOTEL,1900-02-14
359,DINNER,COMMERCIAL,"JACKSONVILLE, FLA.",1900-02-14
360,ST. VALENTINES DAY DINNER,COMMERCIAL,57 BROAD ST. NY,1900-02-14
361,BREAKFAST,COMMERCIAL,USMS ST LOUIS,1900-02-14
362,DINNER,COMMERCIAL,USMS ST LOUIS,1900-02-14
363,LUNCHEON,COMMERCIAL,USMS NEW YORK,1900-02-14
364,DINNER,COMMERCIAL,ABOARD R.M.S. ETRURIA,1900-02-22
365,LUNCH,COMMERCIAL,S.S. SOUTHWORK,1900-02-22
366,MENU,COMMERCIAL,"MADISON SQUARE, WEST, NEW YORK, NY",1900-02-22
367,DINNER,COMMERCIAL,S.S. SOUTHWORK,1900-02-22
368,MENU,COMMERCIAL,"WASHINGTON, D.C.",1900-02-22
369,BREAKFAST,COMMERCIAL,S.S. SOUTHWORK,1900-02-22
370,LUNCHEON CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",1900-02-22
371,MENU,COMMERCIAL,"ROANOKE, VA",1900-02-22
372,WASHINGTON'S BUFFET,COMMERCIAL,"NASSAU, N.P.",1900-02-22
373,DINNER,COMMERCIAL,"WASHINGTON,D.C.",1900-04-27
374,DINNER,PROF,"WASHINGTON, D.C.",1900-04-28
375,35TH ANNIVERSARY DINNER,SOC,"BROOKLYN, NY",1900-04-28
376,DINNER FOR THE ADMIRAL OF THE NAVY,SOC,"CHICAGO,IL",1900-05-01
377,,,,1900-05-01
378,CAFE SERVICE MEALS,COMMERCIAL,CAR ASTORIA,1900-05-01
379,CAFE SERVICE MEALS,COMMERCIAL,CAR SAVOY,1900-05-01
380,DINING CAR SERVICE MEALS,COMMERCIAL,CAR SAVOY,1900-05-01
381,DINING CAR SERVICE MEALS,COMMERCIAL,CAR APPIUS,1900-05-01
382,DINING CAR SERVICE MEALS,COMMERCIAL,CAR ASTORIA,1900-05-01
383,DINING CAR SERVICE MEALS,COMMERCIAL,CAR MANHATTAN,1900-05-01
384,DINING CAR SERVICE MEALS,COMMERCIAL,CAR LIVIUS,1900-05-01
